"","uid","nightuid","namedLocation","domainID","siteID","plotID","trapCoordinate","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","trapStatus","trapType","collectDate","endDate","tagID","individualCode","taxonID","scientificName","taxonRank","identificationQualifier","identificationReferences","nativeStatusCode","sex","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","larvalTicksAttached","nymphalTicksAttached","adultTicksAttached","bloodSampleID","bloodSampleBarcode","bloodSampleMethod","fecalSampleID","fecalSampleBarcode","fecalSampleCondition","earSampleID","earSampleBarcode","hairSampleID","hairSampleBarcode","hairSampleContents","voucherSampleID","voucherSampleBarcode","measuredBy","recordedBy","remarks","dataQF"
"1","94abfaaa-1ddd-46d1-8005-1e00cf1487c8","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","G9","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"2","8f848292-962f-40a8-9ddf-8f90136b8373","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","G8","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"3","cc185889-7617-4ff1-9543-74764b597f05","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","G7","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"4","f0d37585-bf1e-4771-9a83-83d5d1aa0abd","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F2","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"5","491d6a30-21c3-4613-be8c-bed148714100","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F3","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"6","dc8410e1-2a46-4239-83ed-f819a7df4730","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F4","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"7","5879f080-6387-4ea8-83e0-93449a6b82f4","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F5","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"8","357b4ec5-3009-4c29-b958-959a5292e6d8","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F1","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"9","9b9c5ea5-1693-493c-99f1-9264db0f3c66","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","D10","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
"10","bb6e5c9e-e347-46c1-9212-2be4b2f3e262","4D6D7F1A63D24D2EB55447CB4CF4D235","BART_015.mammalGrid.mam","D01","BART","BART_015","F7","distributed","mixedForest",44.042898,-71.275059,"WGS84",45.2,422.8,0.3,"6 - trap set and empty","","2014-05-28","2014-05-28","",NA,"","","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"","",NA,"",NA,"","",NA,"bchagnon@neoninc.org","gvanscoy@field-ops.org","",NA
