"siteID","genus","collectDate","year","month","abundance"
"ARIK","Ablabesmyia",2014-07-14 17:51:00,2014,7,2425.33333333333
"ARIK","Ablabesmyia",2014-09-29 18:20:00,2014,9,20
"ARIK","Ablabesmyia",2016-03-31 15:41:00,2016,3,166.666666666667
"ARIK","Ablabesmyia",2016-07-13 15:24:00,2016,7,258.666666666667
"ARIK","Ablabesmyia",2016-09-19 22:06:00,2016,9,833.333333333333
"ARIK","Ablabesmyia",2017-07-12 17:27:00,2017,7,24
"ARIK","Ablabesmyia",2018-07-12 13:00:00,2018,7,16
"ARIK","Ablabesmyia",2019-07-10 14:27:00,2019,7,8
"ARIK","Ablabesmyia",2019-10-01 19:42:00,2019,10,198.666666666667
"ARIK","Acentria",2014-09-29 18:20:00,2014,9,8
"ARIK","Acricotopus",2016-07-13 15:24:00,2016,7,68
"ARIK","Actinobdella",2017-07-12 17:27:00,2017,7,48
"ARIK","Actinobdella",2019-07-10 14:27:00,2019,7,8
"ARIK","Aedes",2014-09-29 18:20:00,2014,9,108
"ARIK","Aedes",2016-09-19 22:06:00,2016,9,4
"ARIK","Aeshna",2014-09-29 18:20:00,2014,9,4
"ARIK","Aeshna",2016-07-13 15:24:00,2016,7,40
"ARIK","Agabus",2014-09-29 18:20:00,2014,9,16
"ARIK","Agabus",2015-03-25 17:15:00,2015,3,56
"ARIK","Anax",2015-09-29 15:29:00,2015,9,4
"ARIK","Anax",2016-09-19 22:06:00,2016,9,20
"ARIK","Anopheles",2014-09-29 18:20:00,2014,9,4
"ARIK","Apedilum",2017-03-22 15:30:00,2017,3,4
"ARIK","Argia",2015-03-25 17:15:00,2015,3,12
"ARIK","Argia",2017-07-12 17:27:00,2017,7,64
"ARIK","Argia",2017-10-10 15:05:00,2017,10,16
"ARIK","Argia",2019-10-01 19:42:00,2019,10,24
"ARIK","Arrenurus",2014-07-14 17:51:00,2014,7,694.666666666667
"ARIK","Arrenurus",2014-09-29 18:20:00,2014,9,2028
"ARIK","Arrenurus",2015-03-25 17:15:00,2015,3,52
"ARIK","Arrenurus",2016-03-31 15:41:00,2016,3,16
"ARIK","Arrenurus",2016-07-13 15:24:00,2016,7,88
"ARIK","Arrenurus",2018-03-20 14:39:00,2018,3,36
"ARIK","Arrenurus",2019-07-10 14:27:00,2019,7,72
"ARIK","Arrenurus",2019-10-01 19:42:00,2019,10,4
"ARIK","Aulodrilus",2015-03-25 17:15:00,2015,3,656
"ARIK","Aulodrilus",2015-07-14 14:55:00,2015,7,333.333333333333
"ARIK","Aulodrilus",2016-07-13 15:24:00,2016,7,52
"ARIK","Aulodrilus",2017-03-22 15:30:00,2017,3,8666.66666666667
"ARIK","Aulodrilus",2019-03-27 15:08:00,2019,3,174.666666666667
"ARIK","Aulodrilus",2019-07-10 14:27:00,2019,7,548
"ARIK","Baetis",2016-07-13 15:24:00,2016,7,166.666666666667
"ARIK","Belostoma",2014-07-14 17:51:00,2014,7,12
"ARIK","Belostoma",2015-03-25 17:15:00,2015,3,12
"ARIK","Belostoma",2018-07-12 13:00:00,2018,7,4
"ARIK","Belostoma",2019-07-10 14:27:00,2019,7,12
"ARIK","Berosus",2014-07-14 17:51:00,2014,7,170.666666666667
"ARIK","Berosus",2014-09-29 18:20:00,2014,9,4
"ARIK","Berosus",2015-07-14 14:55:00,2015,7,166.666666666667
"ARIK","Berosus",2015-09-29 15:29:00,2015,9,841.333333333333
"ARIK","Berosus",2016-03-31 15:41:00,2016,3,8
"ARIK","Berosus",2016-07-13 15:24:00,2016,7,52
"ARIK","Berosus",2017-03-22 15:30:00,2017,3,166.666666666667
"ARIK","Berosus",2018-10-02 13:26:00,2018,10,770.666666666667
"ARIK","Berosus",2019-07-10 14:27:00,2019,7,20
"ARIK","Berosus",2019-10-01 19:42:00,2019,10,72
"ARIK","Bezzia/Palpomyia",2014-07-14 17:51:00,2014,7,64
"ARIK","Bezzia/Palpomyia",2014-09-29 18:20:00,2014,9,2012
"ARIK","Bezzia/Palpomyia",2015-03-25 17:15:00,2015,3,190.666666666667
"ARIK","Bezzia/Palpomyia",2015-07-14 14:55:00,2015,7,166.666666666667
"ARIK","Bezzia/Palpomyia",2015-09-29 15:29:00,2015,9,32
"ARIK","Bezzia/Palpomyia",2016-03-31 15:41:00,2016,3,44
"ARIK","Bezzia/Palpomyia",2016-07-13 15:24:00,2016,7,56
"ARIK","Bezzia/Palpomyia",2016-09-19 22:06:00,2016,9,166.666666666667
"ARIK","Bezzia/Palpomyia",2017-03-22 15:30:00,2017,3,901.333333333333
"ARIK","Bezzia/Palpomyia",2017-07-12 17:27:00,2017,7,398.666666666667
"ARIK","Bezzia/Palpomyia",2017-10-10 15:05:00,2017,10,566.666666666667
"ARIK","Bezzia/Palpomyia",2018-03-20 14:39:00,2018,3,2068
"ARIK","Bezzia/Palpomyia",2018-07-12 13:00:00,2018,7,88
"ARIK","Caenis",2014-07-14 17:51:00,2014,7,1196
"ARIK","Caenis",2014-09-29 18:20:00,2014,9,198.666666666667
"ARIK","Caenis",2015-07-14 14:55:00,2015,7,3826.66666666667
"ARIK","Caenis",2015-09-29 15:29:00,2015,9,174.666666666667
"ARIK","Caenis",2016-03-31 15:41:00,2016,3,16
"ARIK","Caenis",2016-07-13 15:24:00,2016,7,1065.33333333333
"ARIK","Caenis",2016-09-19 22:06:00,2016,9,849.333333333333
"ARIK","Caenis",2017-03-22 15:30:00,2017,3,194.666666666667
"ARIK","Caenis",2017-07-12 17:27:00,2017,7,12444
"ARIK","Caenis",2017-10-10 15:05:00,2017,10,182.666666666667
"ARIK","Caenis",2018-07-12 13:00:00,2018,7,6785.33333333333
"ARIK","Caenis",2018-10-02 13:26:00,2018,10,1328
"ARIK","Caenis",2019-07-10 14:27:00,2019,7,2332
"ARIK","Caenis",2019-10-01 19:42:00,2019,10,7850.66666666667
"ARIK","Callibaetis",2014-07-14 17:51:00,2014,7,333.333333333333
"ARIK","Callibaetis",2014-09-29 18:20:00,2014,9,8
"ARIK","Callibaetis",2015-07-14 14:55:00,2015,7,500
"ARIK","Callibaetis",2016-07-13 15:24:00,2016,7,4
"ARIK","Callibaetis",2016-09-19 22:06:00,2016,9,8
"ARIK","Callibaetis",2017-07-12 17:27:00,2017,7,400
"ARIK","Callibaetis",2018-07-12 13:00:00,2018,7,24
"ARIK","Callibaetis",2019-07-10 14:27:00,2019,7,3692
"ARIK","Callibaetis",2019-10-01 19:42:00,2019,10,64
"ARIK","Celina",2014-07-14 17:51:00,2014,7,8
"ARIK","Celina",2014-09-29 18:20:00,2014,9,4
"ARIK","Cenocorixa",2016-07-13 15:24:00,2016,7,4
"ARIK","Ceratopogon",2014-07-14 17:51:00,2014,7,166.666666666667
"ARIK","Ceratopogon",2017-03-22 15:30:00,2017,3,333.333333333333
"ARIK","Chaetocladius",2019-03-27 15:08:00,2019,3,194.666666666667
"ARIK","Chaetogaster",2016-09-19 22:06:00,2016,9,120
"ARIK","Chaetogaster",2018-07-12 13:00:00,2018,7,28
"ARIK","Chaetogaster",2019-07-10 14:27:00,2019,7,240
"ARIK","Chaetogaster",2019-10-01 19:42:00,2019,10,166.666666666667
"ARIK","Chironomus",2014-07-14 17:51:00,2014,7,38318.6666666667
"ARIK","Chironomus",2014-09-29 18:20:00,2014,9,21676
"ARIK","Chironomus",2015-03-25 17:15:00,2015,3,500
"ARIK","Chironomus",2015-07-14 14:55:00,2015,7,20
"ARIK","Chironomus",2015-09-29 15:29:00,2015,9,524
"ARIK","Chironomus",2016-07-13 15:24:00,2016,7,333.333333333333
"ARIK","Chironomus",2016-09-19 22:06:00,2016,9,405.333333333333
"ARIK","Chironomus",2017-07-12 17:27:00,2017,7,44
"ARIK","Chironomus",2017-10-10 15:05:00,2017,10,254.666666666667
"ARIK","Chironomus",2018-03-20 14:39:00,2018,3,208
"ARIK","Chironomus",2018-07-12 13:00:00,2018,7,666.666666666667
"ARIK","Chironomus",2018-10-02 13:26:00,2018,10,24
"ARIK","Chironomus",2019-07-10 14:27:00,2019,7,536
"ARIK","Chironomus",2019-10-01 19:42:00,2019,10,18656
"ARIK","Chrysops",2015-03-25 17:15:00,2015,3,16
"ARIK","Chrysops",2015-09-29 15:29:00,2015,9,174.666666666667
"ARIK","Chrysops",2016-07-13 15:24:00,2016,7,405.333333333333
"ARIK","Chrysops",2016-09-19 22:06:00,2016,9,333.333333333333
"ARIK","Chrysops",2017-03-22 15:30:00,2017,3,68
"ARIK","Chrysops",2017-10-10 15:05:00,2017,10,32
"ARIK","Chrysops",2018-03-20 14:39:00,2018,3,28
"ARIK","Chrysops",2018-07-12 13:00:00,2018,7,174.666666666667
"ARIK","Chrysops",2018-10-02 13:26:00,2018,10,540
"ARIK","Chrysops",2019-03-27 15:08:00,2019,3,246.666666666667
"ARIK","Chrysops",2019-07-10 14:27:00,2019,7,12
"ARIK","Cladopelma",2014-07-14 17:51:00,2014,7,20
"ARIK","Cladopelma",2014-09-29 18:20:00,2014,9,14353.3333333333
"ARIK","Cladopelma",2015-03-25 17:15:00,2015,3,52
"ARIK","Cladopelma",2015-07-14 14:55:00,2015,7,666.666666666667
"ARIK","Cladopelma",2015-09-29 15:29:00,2015,9,92
"ARIK","Cladopelma",2016-07-13 15:24:00,2016,7,166.666666666667
"ARIK","Cladopelma",2016-09-19 22:06:00,2016,9,6758.66666666667
"ARIK","Cladopelma",2017-03-22 15:30:00,2017,3,166.666666666667
"ARIK","Cladopelma",2017-07-12 17:27:00,2017,7,1554.66666666667
"ARIK","Cladopelma",2017-10-10 15:05:00,2017,10,112
"ARIK","Cladopelma",2018-03-20 14:39:00,2018,3,24
"ARIK","Cladopelma",2018-07-12 13:00:00,2018,7,8494.66666666667
"ARIK","Cladopelma",2018-10-02 13:26:00,2018,10,4262.66666666667
"ARIK","Cladopelma",2019-03-27 15:08:00,2019,3,2333.33333333333
"ARIK","Cladopelma",2019-07-10 14:27:00,2019,7,532
"ARIK","Cladopelma",2019-10-01 19:42:00,2019,10,8773.33333333333
"ARIK","Cladotanytarsus",2016-07-13 15:24:00,2016,7,20
"ARIK","Cladotanytarsus",2017-07-12 17:27:00,2017,7,166.666666666667
"ARIK","Cladotanytarsus",2018-07-12 13:00:00,2018,7,1333.33333333333
"ARIK","Cladotanytarsus",2019-07-10 14:27:00,2019,7,166.666666666667
"ARIK","Cladotanytarsus",2019-10-01 19:42:00,2019,10,166.666666666667
"ARIK","Clinotanypus",2014-07-14 17:51:00,2014,7,2726.66666666667
"ARIK","Clinotanypus",2014-09-29 18:20:00,2014,9,4028
"ARIK","Clinotanypus",2015-07-14 14:55:00,2015,7,500
"ARIK","Clinotanypus",2015-09-29 15:29:00,2015,9,678.666666666667
"ARIK","Clinotanypus",2016-07-13 15:24:00,2016,7,302.666666666667
"ARIK","Clinotanypus",2016-09-19 22:06:00,2016,9,21518.6666666667
"ARIK","Clinotanypus",2017-03-22 15:30:00,2017,3,64
"ARIK","Clinotanypus",2017-07-12 17:27:00,2017,7,1218.66666666667
"ARIK","Clinotanypus",2017-10-10 15:05:00,2017,10,164
"ARIK","Clinotanypus",2018-03-20 14:39:00,2018,3,64
"ARIK","Clinotanypus",2018-07-12 13:00:00,2018,7,1692
"ARIK","Clinotanypus",2018-10-02 13:26:00,2018,10,378.666666666667
"ARIK","Clinotanypus",2019-03-27 15:08:00,2019,3,500
"ARIK","Clinotanypus",2019-07-10 14:27:00,2019,7,20
"ARIK","Clinotanypus",2019-10-01 19:42:00,2019,10,210.666666666667
"ARIK","Coenagrion/Enallagma",2014-07-14 17:51:00,2014,7,190.666666666667
"ARIK","Coenagrion/Enallagma",2014-09-29 18:20:00,2014,9,616
"ARIK","Coenagrion/Enallagma",2015-07-14 14:55:00,2015,7,8
"ARIK","Coenagrion/Enallagma",2015-09-29 15:29:00,2015,9,4
"ARIK","Coenagrion/Enallagma",2016-07-13 15:24:00,2016,7,670.666666666667
"ARIK","Copelatus",2015-07-14 14:55:00,2015,7,4
"ARIK","Copelatus",2019-10-01 19:42:00,2019,10,12
"ARIK","Corynoneura",2014-09-29 18:20:00,2014,9,4
"ARIK","Corynoneura",2015-09-29 15:29:00,2015,9,349.333333333333
"ARIK","Corynoneura",2018-07-12 13:00:00,2018,7,218.666666666667
"ARIK","Corynoneura",2018-10-02 13:26:00,2018,10,4
"ARIK","Corynoneura",2019-07-10 14:27:00,2019,7,873.333333333333
"ARIK","Cricotopus",2014-07-14 17:51:00,2014,7,6353.33333333333
"ARIK","Cricotopus",2015-03-25 17:15:00,2015,3,206.666666666667
"ARIK","Cricotopus",2015-07-14 14:55:00,2015,7,426.666666666667
"ARIK","Cricotopus",2016-07-13 15:24:00,2016,7,314.666666666667
"ARIK","Cricotopus",2017-03-22 15:30:00,2017,3,32
"ARIK","Cricotopus",2017-07-12 17:27:00,2017,7,32
"ARIK","Cricotopus",2018-03-20 14:39:00,2018,3,8
"ARIK","Cricotopus",2019-07-10 14:27:00,2019,7,230.666666666667
"ARIK","Cricotopus/Orthocladius",2017-07-12 17:27:00,2017,7,236
"ARIK","Cricotopus/Orthocladius",2017-10-10 15:05:00,2017,10,657.333333333333
"ARIK","Cricotopus/Orthocladius",2018-03-20 14:39:00,2018,3,952
"ARIK","Cricotopus/Orthocladius",2018-07-12 13:00:00,2018,7,6966.66666666667
"ARIK","Cricotopus/Orthocladius",2018-10-02 13:26:00,2018,10,1230.66666666667
"ARIK","Cricotopus/Orthocladius",2019-03-27 15:08:00,2019,3,333.333333333333
"ARIK","Cricotopus/Orthocladius",2019-07-10 14:27:00,2019,7,2333.33333333333
"ARIK","Cricotopus/Orthocladius",2019-10-01 19:42:00,2019,10,341.333333333333
"ARIK","Cryptochironomus",2015-07-14 14:55:00,2015,7,60
"ARIK","Cryptochironomus",2016-07-13 15:24:00,2016,7,20
"ARIK","Cryptochironomus",2017-03-22 15:30:00,2017,3,4
"ARIK","Cryptochironomus",2017-07-12 17:27:00,2017,7,8172
"ARIK","Cryptochironomus",2018-03-20 14:39:00,2018,3,8
"ARIK","Cryptochironomus",2018-07-12 13:00:00,2018,7,726.666666666667
"ARIK","Cryptochironomus",2019-03-27 15:08:00,2019,3,166.666666666667
"ARIK","Cryptochironomus",2019-07-10 14:27:00,2019,7,917.333333333333
"ARIK","Cryptochironomus",2019-10-01 19:42:00,2019,10,4504
"ARIK","Cryptotendipes",2016-07-13 15:24:00,2016,7,166.666666666667
"ARIK","Cryptotendipes",2017-07-12 17:27:00,2017,7,234.666666666667
"ARIK","Cryptotendipes",2018-07-12 13:00:00,2018,7,4
"ARIK","Cryptotendipes",2019-03-27 15:08:00,2019,3,666.666666666667
"ARIK","Cryptotendipes",2019-07-10 14:27:00,2019,7,4
"ARIK","Cryptotendipes",2019-10-01 19:42:00,2019,10,504
"ARIK","Culex",2014-09-29 18:20:00,2014,9,4
"ARIK","Culex",2016-09-19 22:06:00,2016,9,20
"ARIK","Culicoides",2014-07-14 17:51:00,2014,7,4
"ARIK","Culicoides",2014-09-29 18:20:00,2014,9,160
"ARIK","Culiseta",2014-09-29 18:20:00,2014,9,28
"ARIK","Dasyhelea",2017-10-10 15:05:00,2017,10,1616
"ARIK","Dasyhelea",2018-03-20 14:39:00,2018,3,1597.33333333333
"ARIK","Dasyhelea",2018-10-02 13:26:00,2018,10,7822.66666666667
"ARIK","Dasyhelea",2019-03-27 15:08:00,2019,3,1698.66666666667
"ARIK","Dasyhelea",2019-10-01 19:42:00,2019,10,1620
"ARIK","Dero",2016-07-13 15:24:00,2016,7,804
"ARIK","Dero",2018-07-12 13:00:00,2018,7,166.666666666667
"ARIK","Dero",2018-10-02 13:26:00,2018,10,198.666666666667
"ARIK","Dero",2019-03-27 15:08:00,2019,3,166.666666666667
"ARIK","Dero",2019-07-10 14:27:00,2019,7,32
"ARIK","Dero",2019-10-01 19:42:00,2019,10,4478.66666666667
"ARIK","Desmopachria",2014-07-14 17:51:00,2014,7,276
"ARIK","Desmopachria",2015-07-14 14:55:00,2015,7,44
"ARIK","Desmopachria",2015-09-29 15:29:00,2015,9,337.333333333333
"ARIK","Desmopachria",2016-07-13 15:24:00,2016,7,402.666666666667
"ARIK","Desserobdella",2016-07-13 15:24:00,2016,7,4
"ARIK","Diamesa",2015-03-25 17:15:00,2015,3,68
"ARIK","Diamesa",2017-03-22 15:30:00,2017,3,536
"ARIK","Diamesa",2018-03-20 14:39:00,2018,3,400
"ARIK","Diamesa",2019-03-27 15:08:00,2019,3,108
"ARIK","Dicrotendipes",2014-07-14 17:51:00,2014,7,12456
"ARIK","Dicrotendipes",2014-09-29 18:20:00,2014,9,2666.66666666667
"ARIK","Dicrotendipes",2015-07-14 14:55:00,2015,7,4666.66666666667
"ARIK","Dicrotendipes",2016-07-13 15:24:00,2016,7,1010.66666666667
"ARIK","Dicrotendipes",2016-09-19 22:06:00,2016,9,20
"ARIK","Dicrotendipes",2017-07-12 17:27:00,2017,7,594.666666666667
"ARIK","Dicrotendipes",2018-07-12 13:00:00,2018,7,7140
"ARIK","Dicrotendipes",2018-10-02 13:26:00,2018,10,182.666666666667
"ARIK","Dicrotendipes",2019-07-10 14:27:00,2019,7,100
"ARIK","Dicrotendipes",2019-10-01 19:42:00,2019,10,433.333333333333
"ARIK","Dina",2016-07-13 15:24:00,2016,7,12
"ARIK","Diplocladius",2014-07-14 17:51:00,2014,7,533.333333333333
"ARIK","Diplocladius",2015-07-14 14:55:00,2015,7,40
"ARIK","Diplocladius",2016-03-31 15:41:00,2016,3,24
"ARIK","Diplocladius",2016-07-13 15:24:00,2016,7,218.666666666667
"ARIK","Diplocladius",2017-03-22 15:30:00,2017,3,80
"ARIK","Diplocladius",2017-10-10 15:05:00,2017,10,32
"ARIK","Diplocladius",2018-03-20 14:39:00,2018,3,20
"ARIK","Diplocladius",2019-07-10 14:27:00,2019,7,730.666666666667
"ARIK","Diplocladius",2019-10-01 19:42:00,2019,10,48
"ARIK","Dixella",2018-07-12 13:00:00,2018,7,4
"ARIK","Donacia",2019-03-27 15:08:00,2019,3,166.666666666667
"ARIK","Dubiraphia",2017-07-12 17:27:00,2017,7,32
"ARIK","Dubiraphia",2018-03-20 14:39:00,2018,3,8
"ARIK","Dubiraphia",2018-07-12 13:00:00,2018,7,24
"ARIK","Dubiraphia",2018-10-02 13:26:00,2018,10,56
"ARIK","Elophila",2014-09-29 18:20:00,2014,9,40
"ARIK","Elophila",2015-09-29 15:29:00,2015,9,4
"ARIK","Elophila",2016-09-19 22:06:00,2016,9,174.666666666667
"ARIK","Endochironomus",2019-10-01 19:42:00,2019,10,36
"ARIK","Enochrus",2014-09-29 18:20:00,2014,9,12
"ARIK","Enochrus",2016-07-13 15:24:00,2016,7,166.666666666667
"ARIK","Erioptera",2015-03-25 17:15:00,2015,3,24
"ARIK","Erioptera",2017-03-22 15:30:00,2017,3,80
"ARIK","Erioptera",2017-10-10 15:05:00,2017,10,1061.33333333333
"ARIK","Erioptera",2018-03-20 14:39:00,2018,3,8
"ARIK","Erioptera",2019-03-27 15:08:00,2019,3,84
"ARIK","Erpobdella",2015-07-14 14:55:00,2015,7,8
"ARIK","Erpobdella",2015-09-29 15:29:00,2015,9,32
"ARIK","Erpobdella",2016-03-31 15:41:00,2016,3,8
"ARIK","Erpobdella",2016-07-13 15:24:00,2016,7,166.666666666667
"ARIK","Erpobdella",2017-10-10 15:05:00,2017,10,4
"ARIK","Erpobdella",2018-07-12 13:00:00,2018,7,4
"ARIK","Erpobdella",2019-07-10 14:27:00,2019,7,24
