"location_id","latitude","longitude","elevation"
"HOPB.AOS.reach",42.471941,-72.329526,203.4
"LEWI.AOS.reach",39.095637,-77.983216,152
"POSE.AOS.reach",38.89431,-78.147258,275.8
"BARC.AOS.outlet",29.674748,-82.008401,27.1
"BARC.AOS.riparian.point.05",29.674476,-82.007454,25.9
"BARC.AOS.inlet",29.677479,-82.00771,26
"BARC.AOS.riparian.point.03",29.676118,-82.006564,22.2
"BARC.AOS.riparian.point.09",29.676597,-82.009967,19.5
"BARC.AOS.riparian.point.07",29.674953,-82.009818,26.4
"BARC.AOS.buoy.c0",29.675982,-82.008414,27
"BARC.AOS.riparian.point.01",29.677784,-82.00767,24.7
"BARC.AOS.reach",29.675982,-82.008414,27
"BARC.AOS.riparian.point.10",29.677686,-82.008911,24.2
"BARC.AOS.riparian.point.06",29.674507,-82.008596,26.6
"BARC.AOS.riparian.point.08",29.675584,-82.010729,25.1
"BARC.AOS.riparian.point.04",29.675164,-82.006743,22.5
"BARC.AOS.riparian.point.02",29.677034,-82.006975,26.1
"SUGG.AOS.riparian.point.09",29.686477,-82.014568,27.9
"SUGG.AOS.outlet",29.687601,-82.020598,30.3
"SUGG.AOS.riparian.point.03",29.69038,-82.019605,27.9
"SUGG.AOS.riparian.point.05",29.687067,-82.020473,27.9
"SUGG.AOS.buoy.c0",29.688149,-82.017318,30
"SUGG.AOS.inlet",29.685093,-82.018412,30.2
"SUGG.AOS.riparian.point.07",29.684758,-82.018516,27.9
"SUGG.AOS.riparian.point.01",29.689972,-82.015337,27.9
"SUGG.AOS.reach",29.68778,-82.017745,32
"SUGG.AOS.riparian.point.02",29.690679,-82.017404,27.9
"SUGG.AOS.riparian.point.06",29.685231,-82.020373,27.9
"SUGG.AOS.riparian.point.08",29.685435,-82.016359,27.9
"SUGG.AOS.riparian.point.04",29.688825,-82.020784,27.9
"SUGG.AOS.riparian.point.10",29.688129,-82.014426,27.9
"CUPE.AOS.reach",18.11352,-66.98676,157
"GUIL.AOS.reach",18.17406,-66.79868,550.7
"CRAM.AOS.buoy.c0",46.210592,-89.476861,509
"CRAM.AOS.inlet",46.207952,-89.476174,511.7
"CRAM.AOS.outlet",46.211998,-89.474475,511.8
"CRAM.AOS.riparian.point.10",46.209167,-89.477353,509.7
"CRAM.AOS.riparian.point.06",46.209007,-89.472853,512.7
"CRAM.AOS.riparian.point.04",46.209689,-89.468752,512.4
"CRAM.AOS.riparian.point.02",46.21193,-89.475007,508.4
"CRAM.AOS.riparian.point.08",46.205971,-89.472702,510.8
"CRAM.AOS.riparian.point.03",46.211728,-89.47091,510.6
"CRAM.AOS.riparian.point.05",46.208228,-89.47127,510.4
"CRAM.AOS.riparian.point.07",46.207433,-89.47522,514.4
"CRAM.AOS.riparian.point.01",46.211208,-89.478274,511
"CRAM.AOS.riparian.point.09",46.206543,-89.476401,510.5
"KING.AOS.reach",39.105061,-96.603829,324.4
"LECO.AOS.reach",35.690428,-83.50379,579
"WALK.AOS.reach",35.957378,-84.279251,264.2
"BLWA.AOS.reach",NA,NA,NA
"BLWA.AOS.buoy.c0",32.54067,-87.79806,20
"BLWA.AOS.riparian.point.10",32.536187,-87.799447,20
"BLWA.AOS.riparian.point.07",32.54276,-87.796706,20
"BLWA.AOS.riparian.point.04",32.54292,-87.798066,20
"BLWA.AOS.riparian.point.03",32.540759,-87.798311,20
"BLWA.AOS.riparian.point.08",32.540444,-87.797122,20
"BLWA.AOS.riparian.point.02",32.538719,-87.799214,20
"BLWA.AOS.riparian.point.06",32.5451,-87.796939,20
"BLWA.AOS.riparian.point.09",32.538258,-87.798136,20
"BLWA.AOS.riparian.point.01",32.536801,-87.800432,20
"BLWA.AOS.riparian.point.05",32.545086,-87.798338,20
"MAYF.AOS.reach",32.960365,-87.407688,76.7
"TOMB.AOS.reach",31.853431,-88.158872,20
"TOMB.AOS.buoy.c0",31.85382,-88.1573,20
"TOMB.AOS.riparian.point.02",31.85178,-88.161217,7.3
"TOMB.AOS.riparian.point.06",31.855489,-88.15416,7.3
"TOMB.AOS.riparian.point.08",31.852821,-88.157609,7.3
"TOMB.AOS.riparian.point.04",31.855271,-88.157986,7.3
"TOMB.AOS.riparian.point.10",31.849051,-88.159348,7.3
"TOMB.AOS.riparian.point.03",31.853668,-88.159787,7.3
"TOMB.AOS.riparian.point.01",31.849571,-88.161916,7.3
"TOMB.AOS.riparian.point.05",31.85709,-88.156374,7.3
"TOMB.AOS.riparian.point.09",31.850973,-88.158592,7.3
"TOMB.AOS.riparian.point.07",31.854416,-88.156161,7.3
"PRLA.AOS.buoy.c0",47.159718,-99.118723,561
"PRLA.AOS.riparian.point.01",47.16041,-99.120862,564.2
"PRLA.AOS.inlet",47.159093,-99.114228,562.4
"PRLA.AOS.riparian.point.03",47.161713,-99.115755,564.4
"PRLA.AOS.outlet",47.16085,-99.120215,562.3
"PRLA.AOS.riparian.point.09",47.158039,-99.119199,564.7
"PRLA.AOS.riparian.point.07",47.158533,-99.114713,564.6
"PRLA.AOS.riparian.point.05",47.161979,-99.113416,564.3
"PRLA.AOS.riparian.point.08",47.157105,-99.116611,564.1
"PRLA.AOS.riparian.point.04",47.162789,-99.11502,564.1
"PRLA.AOS.riparian.point.02",47.161496,-99.118068,564.5
"PRLA.AOS.riparian.point.06",47.160532,-99.113847,563.9
"PRLA.AOS.riparian.point.10",47.15842,-99.121143,564.3
"PRLA.AOS.reach",47.159476,-99.118832,565
"PRLA.AOS.riparian.point.11",47.157178,-99.123745,563.9
"PRLA.AOS.riparian.point.12",47.159164,-99.124312,563.8
"PRPO.AOS.riparian.point.03",47.128397,-99.252532,590.5
"PRPO.AOS.inlet",47.129671,-99.254694,591.7
"PRPO.AOS.riparian.point.07",47.130142,-99.254748,590.9
"PRPO.AOS.riparian.point.09",47.131673,-99.252767,590.2
"PRPO.AOS.outlet",47.131108,-99.250809,591.9
"PRPO.AOS.buoy.c0",47.130692,-99.253482,590
"PRPO.AOS.riparian.point.01",47.130336,-99.250391,589.6
"PRPO.AOS.riparian.point.05",47.127959,-99.25508,590.2
"PRPO.AOS.riparian.point.08",47.131309,-99.254597,590.7
"PRPO.AOS.riparian.point.10",47.131438,-99.251132,590.4
"PRPO.AOS.riparian.point.06",47.129155,-99.255139,591.7
"PRPO.AOS.riparian.point.04",47.127615,-99.25385,590.4
"PRPO.AOS.riparian.point.02",47.129339,-99.251479,590.5
"ARIK.AOS.reach",39.758206,-102.447148,1179.5
"PRIN.AOS.reach",33.378517,-97.782312,253.2
"COMO.AOS.reach",40.034962,-105.544164,3021.6
"REDB.AOS.reach",40.783934,-111.797887,1694.2
"OKSR.AOS.reach",68.669753,-149.143018,766
"TOOK.AOS.riparian.point.04",68.633829,-149.630783,716.7
"TOOK.AOS.riparian.point.09",68.633035,-149.589626,715.5
"TOOK.AOS.buoy.c0",68.630699,-149.611405,715
"TOOK.AOS.riparian.point.01",68.625357,-149.599723,715.3
"TOOK.AOS.riparian.point.02",68.62787,-149.612396,715.7
"TOOK.AOS.riparian.point.07",68.640063,-149.597864,716.2
"TOOK.AOS.inlet",68.625566,-149.59536,717.3
"TOOK.AOS.outlet",68.640502,-149.596089,717
"TOOK.AOS.riparian.point.10",68.629073,-149.592146,715.2
"TOOK.AOS.riparian.point.08",68.636829,-149.591496,716.2
"TOOK.AOS.riparian.point.05",68.635208,-149.61497,716.6
"TOOK.AOS.riparian.point.03",68.631898,-149.622142,716.3
"TOOK.AOS.riparian.point.06",68.637315,-149.606243,717.1
"CARI.AOS.reach",65.153224,-147.503973,224.9
