rowid,species,Genus,species_epithet,family,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,maxtl,matuage,longevity,fecundity,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,potanadr
1,Agonostomus monticola,Agonostomus,monticola,Mugilidae,TRUE,TRUE,FALSE,TRUE,FALSE,36,2.6,10.5,397946,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2,Agosia chrysogaster,Agosia,chrysogaster,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,10,1,3,2500,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,Ambloplites rupestris,Ambloplites,rupestris,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,43,3,8,11000,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
4,Ameiurus melas,Ameiurus,melas,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,66,2.5,5.5,5495,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
5,Ameiurus natalis,Ameiurus,natalis,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,47,2.5,7,7000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,Ameiurus nebulosus,Ameiurus,nebulosus,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,55,2.5,11,13000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Anguilla rostrata,Anguilla,rostrata,Anguillidae,FALSE,FALSE,FALSE,TRUE,TRUE,152,10,43,19920000,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,Awaous banana,Awaous,banana,Gobiidae,TRUE,TRUE,FALSE,FALSE,FALSE,30,3.1,12.3,3000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,Campostoma anomalum,Campostoma,anomalum,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,22,2.5,5,4800,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,Catostomus commersonii,Catostomus,commersonii,Catostomidae,TRUE,TRUE,TRUE,TRUE,FALSE,64,3,8,50000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
11,Chrosomus erythrogaster,Chrosomus,erythrogaster,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,12,1,3.5,1500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,Chrosomus neogaeus,Chrosomus,neogaeus,Cyprinidae,TRUE,FALSE,FALSE,TRUE,TRUE,10.7,2,7,5850,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,Clinostomus funduloides,Clinostomus,funduloides,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,11,2,4,560,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Cottus bairdii,Cottus,bairdii,Cottidae,FALSE,TRUE,FALSE,TRUE,TRUE,15,2,6,176,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15,Cottus caeruleomentum,Cottus,caeruleomentum,Cottidae,FALSE,FALSE,FALSE,TRUE,FALSE,6.3,1.9,5.6,176,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
16,Cottus carolinae,Cottus,carolinae,Cottidae,FALSE,FALSE,FALSE,TRUE,TRUE,18,2,5,475,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
17,Cottus cognatus,Cottus,cognatus,Cottidae,FALSE,TRUE,FALSE,TRUE,TRUE,12.1,3,7,1420,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
18,Cottus girardi,Cottus,girardi,Cottidae,FALSE,FALSE,FALSE,TRUE,TRUE,14,2,5,134,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
19,Culaea inconstans,Culaea,inconstans,Gasterosteidae,TRUE,FALSE,FALSE,TRUE,FALSE,8.7,1,2.5,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Cyprinella lutrensis,Cyprinella,lutrensis,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,9,1.5,3,1200,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Cyprinella venusta,Cyprinella,venusta,Cyprinidae,FALSE,TRUE,TRUE,TRUE,FALSE,19,1,3.5,459,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Cyprinus carpio,Cyprinus,carpio,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,120,2,17,2.00E+06,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
23,Erimyzon oblongus,Erimyzon,oblongus,Catostomidae,TRUE,FALSE,TRUE,TRUE,FALSE,36,2,5.5,83013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
24,Esox americanus,Esox,americanus,Esocidae,FALSE,FALSE,FALSE,TRUE,TRUE,37.6,2.5,7,4584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
