MSW3_ID,Genus,Species,MSWFamilyLatin
1,Tachyglossus,aculeatus,Tachyglossidae
2,Zaglossus,attenboroughi,Tachyglossidae
3,Zaglossus,bartoni,Tachyglossidae
4,Zaglossus,bruijni,Tachyglossidae
5,Ornithorhynchus,anatinus,Ornithorhynchidae
6,Caluromys,philander,Didelphidae
7,Caluromys,derbianus,Didelphidae
8,Caluromys,lanatus,Didelphidae
9,Caluromysiops,irrupta,Didelphidae
10,Glironia,venusta,Didelphidae
11,Chironectes,minimus,Didelphidae
12,Didelphis,aurita,Didelphidae
13,Didelphis,imperfecta,Didelphidae
14,Didelphis,marsupialis,Didelphidae
15,Didelphis,pernigra,Didelphidae
16,Didelphis,virginiana,Didelphidae
17,Didelphis,albiventris,Didelphidae
18,Gracilinanus,formosus,Didelphidae
19,Gracilinanus,emiliae,Didelphidae
20,Gracilinanus,microtarsus,Didelphidae
21,Gracilinanus,marica,Didelphidae
22,Gracilinanus,dryas,Didelphidae
23,Gracilinanus,aceramarcae,Didelphidae
24,Gracilinanus,agricolai,Didelphidae
25,Gracilinanus,agilis,Didelphidae
26,Gracilinanus,ignitus,Didelphidae
27,Hyladelphys,kalinowskii,Didelphidae
28,Lestodelphys,halli,Didelphidae
29,Lutreolina,crassicaudata,Didelphidae
30,Marmosa,murina,Didelphidae
31,Marmosa,xerophila,Didelphidae
32,Marmosa,tyleriana,Didelphidae
33,Marmosa,rubra,Didelphidae
34,Marmosa,quichua,Didelphidae
35,Marmosa,mexicana,Didelphidae
36,Marmosa,lepida,Didelphidae
37,Marmosa,andersoni,Didelphidae
38,Marmosa,robinsoni,Didelphidae
39,Marmosops,handleyi,Didelphidae
40,Marmosops,juninensis,Didelphidae
41,Marmosops,pinheiroi,Didelphidae
42,Marmosops,paulensis,Didelphidae
43,Marmosops,parvidens,Didelphidae
44,Marmosops,noctivagus,Didelphidae
45,Marmosops,neblina,Didelphidae
46,Marmosops,bishopi,Didelphidae
47,Marmosops,impavidus,Didelphidae
48,Marmosops,incanus,Didelphidae
49,Marmosops,fuscatus,Didelphidae
50,Marmosops,dorothea,Didelphidae
51,Marmosops,cracens,Didelphidae
52,Marmosops,invictus,Didelphidae
53,Metachirus,nudicaudatus,Didelphidae
54,Micoureus,demerarae,Didelphidae
55,Micoureus,regina,Didelphidae
56,Micoureus,paraguayanus,Didelphidae
57,Micoureus,constantiae,Didelphidae
58,Micoureus,alstoni,Didelphidae
59,Micoureus,phaeus,Didelphidae
60,Monodelphis,emiliae,Didelphidae
61,Monodelphis,osgoodi,Didelphidae
62,Monodelphis,umbristriata,Didelphidae
63,Monodelphis,theresa,Didelphidae
64,Monodelphis,sorex,Didelphidae
65,Monodelphis,scalops,Didelphidae
66,Monodelphis,rubida,Didelphidae
67,Monodelphis,palliolata,Didelphidae
68,Monodelphis,unistriata,Didelphidae
69,Monodelphis,kunsi,Didelphidae
70,Monodelphis,glirina,Didelphidae
71,Monodelphis,domestica,Didelphidae
72,Monodelphis,dimidiata,Didelphidae
73,Monodelphis,brevicaudata,Didelphidae
74,Monodelphis,americana,Didelphidae
75,Monodelphis,adusta,Didelphidae
76,Monodelphis,maraxina,Didelphidae
77,Monodelphis,iheringi,Didelphidae
78,Philander,andersoni,Didelphidae
79,Philander,opossum,Didelphidae
80,Philander,mcilhennyi,Didelphidae
81,Philander,frenatus,Didelphidae
82,Thylamys,pusillus,Didelphidae
83,Thylamys,venustus,Didelphidae
84,Thylamys,tatei,Didelphidae
85,Thylamys,sponsorius,Didelphidae
86,Thylamys,velutinus,Didelphidae
87,Thylamys,macrurus,Didelphidae
88,Thylamys,karimii,Didelphidae
89,Thylamys,cinderella,Didelphidae
90,Thylamys,elegans,Didelphidae
91,Thylamys,pallidior,Didelphidae
92,Tlacuatzin,canescens,Didelphidae
93,Caenolestes,caniventer,Caenolestidae
94,Caenolestes,condorensis,Caenolestidae
95,Caenolestes,convelatus,Caenolestidae
96,Caenolestes,fuliginosus,Caenolestidae
97,Lestoros,inca,Caenolestidae
98,Rhyncholestes,raphanurus,Caenolestidae
99,Dromiciops,gliroides,Microbiotheriidae
